,Category,Example0,Example1,Example2,Example3,Example4,Example5,Example6,Example7,Example8,Example9,Example10,Example11,Example12,Example13,Example14,Example15,Example16,Example17,Example18,Example19,Example20,Example21,Example22,Example23,Example24,Example25,Example26,Example27,Example28,Example29,Example30,Example31,Example32,Example33,Example34,Example35,Example36,Example37,Example38,Example39,Example40,Example41,Example42,Example43,Example44,Example45,Example46,Example47,Example48,Example49,Example50,Example51,Example52,Example53,Example54,Example55,Example56,Example57,Example58,Example59,Example60,Example61,Example62,Example63,Example64,Example65,Example66,Example67,Example68,Example69,Example70,Example71,Example72,Example73,Example74,Example75,Example76,Example77,Example78,Example79,Example80,Example81,Example82,Example83,Example84,Example85,Example86,Example87,Example88,Example89,Example90,Example91,Example92,Example93,Example94,Example95,Example96,Example97,Example98,Example99
14,negate,1,0,0,0,1,0,1,0,0,2,1,0,3,0,1,0,0,0,1,3,0,2,2,0,1,1,1,5,1,1,0,0,1,0,0,0,0,2,0,3,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0,3,0,0,1,0,0,0,0,1,0,3,0,0,1,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,1,3
15,verb,6,4,6,9,16,3,9,9,3,42,12,22,25,5,8,5,28,3,4,5,9,2,9,17,7,15,6,44,15,9,29,9,19,1,14,23,14,22,27,19,12,20,18,18,8,1,1,11,13,24,4,37,3,5,4,52,14,15,7,5,7,6,5,11,12,23,3,0,3,8,5,7,5,8,9,20,2,23,2,7,12,3,3,14,10,4,4,7,5,5,3,7,14,2,10,13,7,6,0,6
16,adj,0,1,6,2,2,1,4,0,1,28,7,3,5,2,2,4,8,3,0,0,3,1,4,4,1,2,2,6,2,6,10,4,7,2,9,7,0,3,11,2,5,5,5,7,2,0,0,2,6,3,3,13,3,1,2,11,8,3,2,1,2,4,0,2,1,14,1,0,0,7,2,0,1,2,0,7,0,4,1,2,9,0,0,5,1,1,0,2,6,4,1,2,1,0,4,4,2,2,0,1
17,compare,0,1,1,1,1,0,2,1,0,12,5,0,2,1,0,2,5,1,1,0,1,1,1,2,1,1,1,3,2,2,8,2,4,0,8,6,0,1,6,1,4,1,2,2,2,0,0,1,3,5,1,11,1,1,2,6,1,5,1,1,1,3,1,0,0,8,0,0,0,3,1,0,0,1,0,4,0,1,1,1,6,0,0,2,0,0,0,0,2,1,0,0,1,0,1,3,1,2,0,0
18,interrog,2,1,1,0,3,1,1,0,1,3,0,2,4,0,0,1,3,1,0,0,3,0,3,4,1,2,0,2,0,1,1,1,3,0,1,3,2,1,4,3,4,1,3,5,0,0,1,3,2,3,1,4,0,1,0,7,1,1,1,1,0,1,1,3,0,4,1,0,0,0,1,1,0,1,0,3,0,2,0,0,2,2,0,1,2,0,0,0,1,0,0,0,0,0,2,3,1,1,0,2
19,number,0,0,0,0,2,0,0,0,0,1,1,2,0,0,0,1,1,0,0,0,0,0,0,1,1,7,0,1,0,1,0,0,0,1,2,4,0,0,1,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,1,3,0,1,0,0,0,1,0,2,0,6,0,0,0,2,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20,quant,0,0,0,1,0,0,2,1,0,2,0,1,2,1,2,1,5,0,0,1,2,0,4,1,1,4,1,6,2,3,10,1,1,1,5,9,0,2,4,2,1,0,2,4,3,0,1,1,4,5,2,11,0,2,2,17,3,3,1,1,1,3,1,0,2,8,0,0,0,1,0,0,0,1,2,4,0,4,0,0,2,0,0,1,0,2,1,2,1,0,0,0,3,0,0,0,0,1,0,0
21,affect,2,1,4,3,4,2,4,3,3,21,5,6,6,3,5,5,5,2,2,2,5,2,6,9,3,4,5,12,2,4,10,1,4,2,1,5,5,3,7,7,9,13,8,9,3,1,1,1,3,10,0,10,2,3,2,12,8,3,0,2,1,1,1,4,8,12,2,0,2,4,4,2,2,2,3,6,2,2,2,2,6,0,1,5,3,5,1,4,3,4,0,2,2,0,3,5,5,7,0,3
22,posemo,2,1,3,2,4,1,2,2,2,14,3,3,1,2,2,3,4,1,1,2,3,2,2,6,2,2,4,5,0,3,5,1,3,1,1,3,3,1,5,4,5,6,7,6,2,0,1,0,3,10,0,8,2,3,2,4,7,3,0,2,1,1,0,3,6,8,2,0,1,4,4,1,1,2,1,4,1,1,2,2,4,0,1,1,2,3,0,1,0,4,0,2,2,0,3,4,4,4,0,2
23,negemo,0,0,1,0,0,1,2,1,1,7,2,2,5,1,3,2,1,1,1,0,2,0,4,3,1,2,1,7,2,1,5,0,1,1,0,2,0,2,1,3,4,7,1,3,1,1,0,1,0,0,0,1,0,0,0,8,1,0,0,0,0,0,1,1,2,4,0,0,1,0,0,1,1,0,2,1,0,1,0,0,2,0,0,3,1,2,1,3,2,0,0,0,0,0,0,1,1,3,0,1
24,anx,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,1,0,3,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1
25,anger,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26,sad,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,social,4,5,3,7,7,3,9,4,3,37,3,28,18,2,0,2,21,1,5,5,11,0,9,11,3,4,2,27,1,2,10,2,5,1,8,18,11,15,11,5,8,10,12,15,5,2,2,5,8,11,2,21,4,1,2,36,4,10,2,1,5,4,6,5,7,14,1,0,1,5,5,6,3,5,4,21,4,7,2,3,3,3,1,14,6,2,0,6,1,6,1,2,10,0,3,7,8,8,3,8
